dim,type,cat,n,pct
pct_black,BSEC,"[0,21.5)",7,25
pct_black,BSEC,"[21.5,61.4)",3,10.714285714285714
pct_black,BSEC,"[61.4,83.6)",7,25
pct_black,BSEC,"[83.6,91.5)",4,14.285714285714285
pct_black,BSEC,"[91.5,99.3]",7,25
pct_black,Private,"[0,21.5)",51,62.19512195121951
pct_black,Private,"[21.5,61.4)",13,15.853658536585366
pct_black,Private,"[61.4,83.6)",9,10.975609756097562
pct_black,Private,"[83.6,91.5)",5,6.097560975609756
pct_black,Private,"[91.5,99.3]",4,4.878048780487805
pct_black,Tracts,"[0,21.5)",40,20.100502512562816
pct_black,Tracts,"[21.5,61.4)",40,20.100502512562816
pct_black,Tracts,"[61.4,83.6)",39,19.597989949748744
pct_black,Tracts,"[83.6,91.5)",40,20.100502512562816
pct_black,Tracts,"[91.5,99.3]",40,20.100502512562816
pct_poverty,BSEC,"[1.15,8.91)",2,7.142857142857142
pct_poverty,BSEC,"[8.91,15.3)",4,14.285714285714285
pct_poverty,BSEC,"[15.3,22)",11,39.285714285714285
pct_poverty,BSEC,"[22,31.3)",5,17.857142857142858
pct_poverty,BSEC,"[31.3,100]",6,21.428571428571427
pct_poverty,Private,"[1.15,8.91)",44,53.65853658536586
pct_poverty,Private,"[8.91,15.3)",16,19.51219512195122
pct_poverty,Private,"[15.3,22)",17,20.73170731707317
pct_poverty,Private,"[22,31.3)",2,2.4390243902439024
pct_poverty,Private,"[31.3,100]",3,3.6585365853658534
pct_poverty,Tracts,"[1.15,8.91)",40,20.2020202020202
pct_poverty,Tracts,"[8.91,15.3)",39,19.696969696969695
pct_poverty,Tracts,"[15.3,22)",40,20.2020202020202
pct_poverty,Tracts,"[22,31.3)",39,19.696969696969695
pct_poverty,Tracts,"[31.3,100]",40,20.2020202020202
